,Date,Open,High,Low,Close,Volume,Single_Line,Whole_Paragraph
0,2013-01-02,7.0,7.09,6.942,7.072,5974000,0.0,0.0
1,2013-01-03,7.0360000000000005,7.09,6.95,6.954,3710000,0.0,0.0
2,2013-01-04,6.96,6.96,6.784,6.88,3370000,0.0,0.0
3,2013-01-07,6.96,6.96,6.78,6.867999999999999,2210000,0.0,0.0
4,2013-01-08,6.9,6.9,6.622000000000001,6.736000000000001,6420000,0.0,0.0
5,2013-01-09,6.8020000000000005,6.837999999999999,6.68,6.728,3490000,0.0,0.0
6,2013-01-10,6.774,6.797999999999999,6.676,6.706,4612500,0.0,0.0
7,2013-01-11,6.808,6.808,6.422000000000001,6.582000000000001,7816000,0.0,0.0
8,2013-01-14,6.6160000000000005,6.676,6.57,6.652,4625500,0.0,0.0
9,2013-01-15,6.622000000000001,6.85,6.6160000000000005,6.78,8121000,0.0,0.0
10,2013-01-16,6.77,6.846,6.746,6.82,6891000,0.0,0.0
11,2013-01-17,6.832000000000001,6.97,6.784,6.876,7183500,0.2669865671641791,0.9999
12,2013-01-18,6.9479999999999995,6.956,6.763999999999999,6.904,17775500,0.0,0.0
13,2013-01-22,6.912000000000001,7.11,6.852,7.037999999999999,9601000,0.0,0.0
14,2013-01-23,7.004,7.247999999999999,6.992000000000001,7.2,7821500,0.0,0.0
15,2013-01-24,7.2,7.544,7.167999999999999,7.398,9852000,0.0,0.0
16,2013-01-25,7.4,7.507999999999999,7.36,7.396,6439000,0.0,0.0
17,2013-01-28,7.372000000000001,7.742000000000001,7.372000000000001,7.606,9930000,0.0,0.0
18,2013-01-29,7.62,7.688,7.426,7.59,7133000,-0.262,-0.4779
19,2013-01-30,7.57,7.6,7.486000000000001,7.504,4840500,0.0,0.0
20,2013-01-31,7.574,7.574,7.386,7.502000000000001,4507000,0.0,0.0
21,2013-02-01,7.6339999999999995,7.7,7.524,7.66,5503000,0.0,0.0
22,2013-02-04,7.68,7.684,7.518,7.547999999999999,5640000,0.0,0.0
23,2013-02-05,7.6,7.73,7.5360000000000005,7.626,6551000,0.0,0.0
24,2013-02-06,7.636,7.877999999999999,7.58,7.834,9466000,0.0,0.0
25,2013-02-07,7.837999999999999,7.936,7.79,7.896,5983000,0.0,0.0
26,2013-02-08,7.89,8.0,7.827999999999999,7.848,5699000,0.0,0.0
27,2013-02-11,7.596,7.83,7.5,7.684,16331500,0.0,0.0
28,2013-02-12,7.69,7.774,7.457999999999999,7.577999999999999,11306500,0.0,0.0
29,2013-02-13,7.66,7.8,7.61,7.69,4834000,0.0,0.0
30,2013-02-14,7.728,7.75,7.642,7.654,4953500,0.0,0.0
31,2013-02-15,7.7,7.702000000000001,7.39,7.4079999999999995,10088000,0.0,0.0
